"Date","Bookmaker","Tipster","Sport","Category","Competition","Type of bet","Free bet","Live","Type","Label of bet","Odds","Stake","Gain","Winning bonus","Commission","Profit","State","Closing Odds","Comment"
"02/17/2024 01:21","Caliente","Frosty ","Basketball","","","","","","Simple","O125 ULL",1.909,2500,4772.5,"","",2272.5,"Won","",""
"02/17/2024 00:37","Caliente","Ruy","Football","","","","","","Simple","Aragón -1",1.9,2000,3800,"","",1800,"Won","",""
"02/17/2024 00:18","TeamMexicoBets","Ruy","Football","","","","","","Simple","Gabilanes",1.8,2000,3600,"","",1600,"Won","",""
"02/16/2024 23:48","Caliente","Yuca","Football","","","","","","Simple","O2.5 stutthart",1.769,2200,3891.8,"","",1691.8,"Won","",""
"02/16/2024 21:35","TeamMexicoBets","DJ Serch","Football","","","","","","Simple","Alajuelense ",1.66,3000,3990,"","",990,"Half Won","",""
"02/16/2024 15:35","Caliente","DJ Serch","Football","","","","","","Simple","Pachuca ",1.75,2750,4812.5,"","",2062.5,"Won","",""
"02/16/2024 14:37","Caliente","DJ Serch","Football","","","","","","Simple","Maza +4",1.85,2250,-2250,"","",-2250,"Lost","",""
"02/16/2024 14:36","Caliente","DJ Serch","Football","","","","","","Simple","Magdalena",1.571,3000,4713,"","",1713,"Won","",""
"02/16/2024 10:02","Caliente","Yuca","Football","","","","","","Simple","Xelaju ",1.9,5000,9500,"","",4500,"Won","",""
"02/16/2024 09:03","TeamMexicoBets","Yuca","Football","","","","","","Simple","Khemis",1.9,2500,-1250,"","",-1250,"Half Lost","",""
"02/15/2024 20:28","TeamMexicoBets","DJ Serch","Football","","","","","","Simple","Comu +2",1.75,1500,-1500,"","",-1500,"Lost","",""
"02/15/2024 16:13","TeamMexicoBets","Ruy","Football","","","","","","Simple","Venados ",1.83,2000,3660,"","",1660,"Won","",""
"02/15/2024 15:08","Novibet","Vidente","Tennis","","","","","","Simple","O20.5 masarobva ",1.8,2000,-2000,"","",-2000,"Lost","",""
"02/15/2024 13:51","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","104.5 1H Bucks",1.77,2587,4578.99,"","",1991.99,"Won","",""
"02/15/2024 11:37","Caliente","Vidente","Tennis","","","","","","Simple","Jaqueline ",1.85,2000,-2000,"","",-2000,"Lost","",""
"02/14/2024 21:57","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","O228 clippers",1.89,2500,4725,"","",2225,"Won","",""
"02/14/2024 18:54","TeamMexicoBets","Vidente","Tennis","","","","","","Simple","De minaur",2.16,2000,4320,"","",2320,"Won","",""
"02/14/2024 18:11","TeamMexicoBets","Frosty ","Basketball","","","","","","Simple","Siakam",1.87,2500,-2500,"","",-2500,"Lost","",""
"02/14/2024 18:05","Novibet","Vidente","Tennis","","","","","","Simple","Osaka",1.89,2000,-2000,"","",-2000,"Lost","",""
"02/14/2024 15:18","Novibet","Frosty ","Basketball","","NBA - USA","","","","Simple","Nets ",1.8,2500,-2500,"","",-2500,"Lost","",""
"02/14/2024 11:04","TeamMexicoBets","Yuca","Football","","","","","","Simple","Lions",1.8,2500,4500,"","",2000,"Won","",""
"02/14/2024 09:25","TeamMexicoBets","Yuca","Football","","","","","","Simple","Saoura",1.28,2500,-2500,"","",-2500,"Lost","",""
"02/14/2024 09:25","TeamMexicoBets","Yuca","Football","","","","","","Simple","Setif",1.75,2500,-2500,"","",-2500,"Lost","",""
